hospital,ccn,cbsa,participation,start_date,end_date
STANFORD HEALTH CARE,050441,San Jose–Sunnyvale–Santa Clara,Mandatory,01/01/2026,12/31/2030
UCSF MEDICAL CENTER,050454,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
ADVENTIST HEALTH BAKERSFIELD,050455,Bakersfield–Delano,Mandatory,01/01/2026,12/31/2030
UCSF HEALTH ST. MARY'S HOSPITAL,050457,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
EDEN MEDICAL CENTER,050488,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,050496,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,050503,San Diego–Chula Vista–Carlsbad,Mandatory,01/01/2026,12/31/2030
ADVENTIST HEALTH SIERRA VISTA,050506,San Luis Obispo–Paso Robles,Mandatory,01/01/2026,12/31/2030
KAISER FOUNDATION HOSPITAL,050510,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
KAISER FOUNDATION HOSPITAL - FREMONT,050512,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
KAISER FOUNDATION HOSPITAL - ZION,050515,San Diego–Chula Vista–Carlsbad,Mandatory,01/01/2026,12/31/2030
VICTOR VALLEY GLOBAL MEDICAL CENTER,050517,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
SUTTER DELTA MEDICAL CENTER,050523,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
JOHN F KENNEDY MEMORIAL HOSPITAL,050534,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
KAISER FOUNDATION HOSPITAL - REDWOOD CITY,050541,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
EISENHOWER MEDICAL CENTER,050573,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
CHINO VALLEY MEDICAL CENTER,050586,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
KAISER FOUNDATION HOSPITAL-SAN JOSE,050604,San Jose–Sunnyvale–Santa Clara,Mandatory,01/01/2026,12/31/2030
ADVENTIST HEALTH DELANO,050608,Bakersfield–Delano,Mandatory,01/01/2026,12/31/2030
CEDARS-SINAI MEDICAL CENTER,050625,Los Angeles–Long Beach–Anaheim,Voluntary,01/01/2026,12/31/2030
ADVENTIST HEALTH TWIN CITIES,050633,San Luis Obispo–Paso Robles,Mandatory,01/01/2026,12/31/2030
PALOMAR MEDICAL CENTER POWAY,050636,San Diego–Chula Vista–Carlsbad,Mandatory,01/01/2026,12/31/2030
LAGUNA HONDA HOSPITAL & REHABILITATION CENTER,050668,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
MENIFEE GLOBAL MEDICAL CENTER,050684,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
"KAISER FOUNDATION HOSPITAL, RIVERSIDE",050686,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
SAN RAMON REGIONAL MEDICAL CENTER,050689,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
